,first_m,first_y,last_m,last_y
30165,1,2008,4,2022
10761,2,1994,4,2022
51157,2,2013,4,2022
10790,2,1994,11,2007
26855,11,1994,3,2008
48374,12,2009,4,2022
5490,1,1953,1,2005
42783,7,2004,7,2006
10873,2,1994,4,2022
42007,10,2003,7,2006
26856,8,1994,10,2016
10843,2,1994,4,2022
5616,10,1975,9,2012
49608,9,2012,4,2022
5237,9,1994,4,2022
42604,5,2004,8,2006
42903,9,2004,6,2007
10762,2,1994,4,2022
42008,10,2003,6,2007
42784,7,2004,7,2006
42643,5,2004,6,2007
42011,5,2003,5,2006
41737,10,2003,8,2006
42009,5,2004,6,2007
42010,10,2003,6,2007
42014,10,2003,6,2007
32462,10,2003,6,2007
43189,1,2005,6,2007
42605,5,2004,6,2007
42012,10,2003,12,2006
